sample_index,true_dust_mg_m3,common_gain,dual_color_raw_mg_m3,dual_color_filtered_mg_m3,single_color_raw_mg_m3,single_color_filtered_mg_m3
187,69.15346417385982,1.050617078957143,66.72734393434493,66.02057443364528,60.45126710481586,60.26151288334131
188,69.88236408612094,1.058268386252767,65.41658069734206,66.48637832945717,61.02850440190315,59.870593814752716
189,70.33098448718319,1.0656907840989107,69.41315225123549,68.15520947657477,60.1386341750233,59.3124012389096
190,70.45365305072012,1.0726166028053365,65.05972890312592,68.91902026806066,58.09154310871995,58.6413686313697
191,70.21491982602447,1.0787726674571338,74.15924159682545,69.95628507066137,56.85205740408578,57.417463851799845
192,69.59119616118666,1.0838939627238633,70.54639789177438,69.25879447422878,57.09610406711631,55.688842251510174
193,68.57192611567758,1.087737211175076,70.60290471034558,69.16005024617871,54.908980504053886,54.293827550815024
194,67.16024113641774,1.0900936406044133,65.92569926907257,66.94768602454738,51.49552617357496,52.57773198364671
195,65.3730698229405,1.09080025575957,64.56600776287556,64.8395230997844,51.11646960524419,50.53423136371107
196,63.24069682070524,1.0897490066385214,63.097420488668845,63.019477859980086,48.271579568244164,48.64889891724903
197,60.805787348151775,1.08689335504618,60.00558326795947,61.37997965177211,46.87860096743815,46.64850572236476
198,58.121915663456626,1.0822518775460734,61.502678511323985,60.48847324246665,45.482318271743694,44.46114518269346
199,55.251656019124205,1.075908698973613,57.728208228032706,59.8362364309161,41.49356019915358,43.50853658630578
200,52.26431250820702,1.068010717928996,60.10847571634821,59.779787485234976,40.17966690688769,42.385181792594985
